station,DateTime,BatteryVoltage_max,BatteryVoltage_min,BatteryVoltage_mean,Humidity_max,Humidity_min,Humidity_mean,Rain_sum,Rain_max,Rain_min,Rain_mean,Temperature_max,Temperature_min,Temperature_mean,rain_stuck,batt_error,temp_error,humid_error,rain_error,error_state,error_label,error_color,kmeans_AE_labels,kmeans_tsne_labels,kmeans_umap_labels
CM-LS-002,2014-01-01,15.1,12.7,13.108680555555557,88.6,46.0,77.83576388888889,55.0,2.4,0.2,2.2916666666666665,27.3,13.3,18.66423611111111,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-02,15.2,12.7,13.141666666666667,88.5,51.6,78.32777777777777,42.0,2.4,0.0,1.75,28.6,13.4,19.76493055555555,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-03,15.2,12.7,13.171527777777778,88.5,44.8,77.73680555555558,47.8,2.4,0.0,1.9916666666666665,31.1,14.7,20.928125,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-04,15.3,12.7,13.183680555555556,88.5,55.2,78.57777777777778,38.39999999999999,2.4,0.0,1.5999999999999999,29.2,14.7,20.946875000000002,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-05,14.9,12.7,13.118749999999999,89.5,58.4,81.646875,44.8,2.4,0.0,1.8666666666666665,28.7,16.0,20.958680555555556,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-06,15.3,12.7,13.16388888888889,90.2,50.3,78.9517361111111,42.0,2.4,0.0,1.75,30.2,15.4,21.214583333333334,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-07,15.2,12.7,13.148263888888888,89.6,40.6,75.14687500000001,41.0,2.4,0.0,1.7083333333333333,30.1,14.6,20.900347222222223,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-08,15.3,12.7,13.165972222222223,89.2,41.2,75.45347222222222,0.2,0.2,0.0,0.008333333333333333,29.6,13.2,19.90625,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-09,15.4,12.6,13.14375,88.7,45.4,75.234375,45.599999999999994,2.4,0.0,1.8999999999999997,29.8,13.0,20.061458333333334,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-10,15.3,12.7,13.164583333333333,88.6,54.2,77.58437499999998,39.0,2.4,0.0,1.625,29.1,15.0,20.851736111111112,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-11,15.4,12.7,13.175694444444444,89.0,32.1,75.34722222222223,0.2,0.2,0.0,0.008333333333333333,31.2,15.9,21.40173611111111,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-12,15.3,12.7,13.18263888888889,88.3,45.6,74.62291666666667,0.0,0.0,0.0,0.0,29.2,13.9,20.322222222222223,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-13,15.4,12.7,13.184722222222222,88.1,43.7,74.55277777777776,40.599999999999994,2.4,0.0,1.6916666666666664,28.9,14.1,20.216319444444444,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-14,15.0,12.7,13.119444444444447,88.3,49.7,77.25347222222223,35.8,2.4,0.0,1.4916666666666665,27.3,14.5,19.346874999999997,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-15,15.1,12.7,13.143055555555556,88.6,46.2,76.30347222222223,0.2,0.2,0.0,0.008333333333333333,27.4,13.6,18.996180555555558,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-16,15.3,12.6,13.184027777777779,88.9,45.8,75.99340277777777,39.599999999999994,2.4,0.0,1.6499999999999997,27.2,12.8,18.723263888888887,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-17,15.3,12.7,13.178819444444445,88.9,45.0,74.68819444444445,42.199999999999996,2.4,0.0,1.758333333333333,27.9,12.7,19.17673611111111,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-18,15.2,12.7,13.136805555555556,88.5,48.4,72.853125,0.2,0.2,0.0,0.008333333333333333,28.3,14.3,19.60763888888889,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-19,15.0,12.7,13.140625,86.6,41.7,69.98680555555555,0.0,0.0,0.0,0.0,26.0,13.7,18.490972222222226,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-20,15.1,12.6,13.171527777777778,88.4,43.8,74.1204861111111,0.0,0.0,0.0,0.0,27.2,11.1,17.99791666666667,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-21,15.0,12.7,13.18923611111111,87.4,39.1,69.86597222222223,0.0,0.0,0.0,0.0,26.3,13.4,19.052777777777777,0,0,0,0,0,0,normal,blue,0,0,0
CM-LS-002,2014-01-22,15.3,12.6,13.192708333333334,87.3,41.8,71.68125,0.0,0.0,0.0,0.0,26.0,10.8,17.13576388888889,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-23,15.4,12.6,13.188541666666667,87.6,17.7,66.40833333333333,0.0,0.0,0.0,0.0,29.4,9.0,16.63888888888889,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-24,15.2,12.6,13.20451388888889,86.1,38.4,70.27048611111111,0.0,0.0,0.0,0.0,26.8,9.1,16.72083333333333,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-25,15.4,12.6,13.182638888888889,86.0,41.7,72.02465277777777,36.599999999999994,2.4,0.0,1.5249999999999997,30.0,10.9,18.695486111111112,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-26,15.1,12.7,13.194097222222224,85.8,40.0,71.02708333333334,41.39999999999999,2.4,0.0,1.7249999999999999,29.5,12.9,19.770833333333332,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-27,15.2,12.7,13.198958333333334,85.6,33.8,70.67465277777778,0.2,0.2,0.0,0.008333333333333333,30.2,12.9,19.84722222222222,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-28,15.1,12.7,13.181597222222223,85.4,41.2,71.02152777777776,0.0,0.0,0.0,0.0,29.8,13.5,20.316666666666666,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-29,15.1,12.7,13.187847222222224,85.5,38.0,70.85069444444444,0.0,0.0,0.0,0.0,30.7,14.0,20.92465277777778,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-30,15.3,12.7,13.180555555555557,85.1,40.4,70.56354166666668,0.0,0.0,0.0,0.0,30.8,14.4,21.329513888888886,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-01-31,15.2,12.7,13.197569444444445,85.4,41.9,70.6861111111111,0.0,0.0,0.0,0.0,31.2,14.7,21.64479166666667,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-02-01,15.3,12.7,13.202083333333334,85.3,28.7,66.42604166666666,0.0,0.0,0.0,0.0,35.0,15.3,22.911805555555556,0,1,0,0,0,1,anomaly,red,0,0,0
CM-LS-002,2014-02-02,15.2,12.7,13.151736111111111,84.8,23.5,64.428125,0.0,0.0,0.0,0.0,35.6,14.3,22.756944444444443,0,1,0,0,0,1,anomaly,red,0,0,0
